@RELATION emotion_activation
@ATTRIBUTE rough_mean1 NUMERIC
@ATTRIBUTE rough_mean2 NUMERIC
@ATTRIBUTE rough_mean3 NUMERIC
@ATTRIBUTE rough_std NUMERIC
@ATTRIBUTE fluct_max NUMERIC
@ATTRIBUTE fluct_mean NUMERIC
@ATTRIBUTE key_mean NUMERIC
@ATTRIBUTE modality NUMERIC
@ATTRIBUTE sp_nov_mean NUMERIC
@ATTRIBUTE hcdf_mean NUMERIC
@ATTRIBUTE activation {-1, 1}

@DATA
-1.1771,-1.2092,-0.94238,-1.1111,-0.53547,-0.16477,-2.6555,1.3388,-0.52742,-1.2389,1
-0.65555,-0.67061,-0.53208,-0.72044,-0.80283,-0.83494,-1.9442,1.1403,-0.65596,-0.88852,1
0.99063,1.4928,-0.48401,2.4872,-0.35392,-0.44405,1.874,-0.71665,-0.62888,0.5865,1
1.2333,1.5727,0.1665,1.7553,-0.32593,-0.036168,0.99195,0.37172,0.2439,-0.21552,-1
-1.4274,-1.4976,-1.0591,-1.4267,-0.1457,0.080745,0.21989,0.27259,-0.15709,-0.69413,-1
-0.87854,-0.9119,-0.67672,-1.1789,0.86894,0.20161,1.0438,0.1801,0.26472,0.57978,1
-0.87566,-0.91018,-0.67224,-1.1109,-0.057537,0.89985,0.72228,-0.92803,2.4896,0.5795,1
2.1859,2.6071,0.78671,2.7098,-0.21335,0.26166,0.64799,0.59633,0.32324,0.46398,1
2.7972,2.8324,2.3514,1.9271,-0.11211,0.35431,-0.45275,0.57707,-0.98231,0.49127,1
0.34182,0.25345,0.53702,-0.29024,-0.30202,0.4112,0.13154,1.2105,1.479,-0.28974,1
-1.1576,-1.2193,-0.84545,-0.9945,0.52041,-0.87566,-0.61545,0.32452,-1.0696,-0.72989,-1
-1.1612,-1.1845,-0.95188,-0.86614,0.5405,-0.56857,-0.35152,-0.068385,-1.4379,-0.9006,-1
0.012429,0.035645,-0.049351,-0.12834,-0.041669,-0.43623,-0.89855,-0.63735,1.8595,1.2256,1
2.0028,1.6296,2.745,0.53431,0.84903,0.56539,-2.3205,2.1448,0.90538,-0.29823,1
-0.9736,-1.025,-0.71284,-1.1254,-0.014264,0.069225,0.50541,-1.4624,-0.50716,-0.3157,-1
-0.47957,-0.49722,-0.37131,-0.42358,-0.30954,-0.36935,-0.26101,-0.8453,0.010172,-0.39538,1
-0.7152,-0.68279,-0.71284,-0.39056,0.29532,-0.015375,0.25217,-0.3236,0.0072839,0.0056664,1
0.77703,0.83758,0.51948,0.42566,-0.71768,-0.40755,0.76857,-0.58039,-0.62301,1.3974,1
-0.30642,-0.40175,-0.010685,-0.70181,-0.54339,-0.8366,0.34132,0.12801,0.614,0.065824,1
-0.23564,-0.37419,0.16511,-0.45455,-0.21596,-0.17735,-0.043173,0.30184,0.34791,0.46585,-1
0.27276,0.33197,0.08085,0.39921,-0.54246,-0.7201,-1.0471,0.34571,-0.82821,0.18485,1
-0.13629,-0.064146,-0.31049,0.011814,-0.11233,-0.31802,-0.96979,-0.037069,-0.89849,1.0068,1
-0.14805,-0.090886,-0.27966,-0.26812,2.4824,4.121,-1.0436,-2.0311,-0.17384,-0.97752,1
