@RELATION emotion_valence
@ATTRIBUTE rough_mean1 NUMERIC
@ATTRIBUTE rough_mean2 NUMERIC
@ATTRIBUTE rough_mean3 NUMERIC
@ATTRIBUTE rough_std NUMERIC
@ATTRIBUTE fluct_max NUMERIC
@ATTRIBUTE fluct_mean NUMERIC
@ATTRIBUTE key_mean NUMERIC
@ATTRIBUTE modality NUMERIC
@ATTRIBUTE sp_nov_mean NUMERIC
@ATTRIBUTE hcdf_mean NUMERIC
@ATTRIBUTE valence {-1, 1}

@DATA
12038309.1584,22605737.0061,1434317.986,14968722.8927,3246.558,1227.4911,6.9163,-0.0014787,0.1013,1.0775,1
5892530.7126,10938985.374,808890.3335,9413983.5279,1423.5167,553.375,7.3065,-0.044447,0.12142,0.98644,1
14993082.9299,24910356.2528,5038826.7295,15934940.4964,1214.0632,387.7376,6.5686,0.030549,0.080824,0.99942,1
8054906.4917,15056722.6729,1012512.8197,15186803.6257,1651.892,381.4976,6.7384,-0.027662,0.13273,0.91214,-1
14691592.617,25355188.8708,3981629.4376,18875841.7892,1291.4278,361.8774,6.9122,-0.026912,0.068847,1.0627,1
17658152.7534,30193844.7402,5070316.5142,21001754.7451,863.5631,380.6175,7.3746,-0.0054105,0.086482,1.0036,-1
13955479.92,21963625.3899,5928175.2213,11531819.2901,944.0916,409.0793,6.8781,0.015858,0.045178,0.90067,-1
19234185.3996,29280714.014,9165072.3825,13023820.0285,970.5453,383.0227,7.3645,-0.0028513,0.099158,1.0646,1
13599496.4109,21807121.1374,5375701.2533,11071956.6127,2342.1311,431.8549,5.6022,-0.029094,0.11467,0.85723,-1
7472897.451,12104935.7247,2820695.4509,7177266.0343,1696.3786,516.2044,7.0411,-0.0072624,0.11008,0.57677,-1
9298205.1049,15933405.0593,2644010.9001,12617978.7999,1032.2609,324.2613,7.2744,-0.017934,0.086737,0.88484,1
8607574.4234,14869554.665,2330332.0833,10053261.5905,1015.5436,314.4063,6.2231,-0.034397,0.11375,1.0035,1
7925498.4938,14014296.1567,1813362.0817,14319770.5183,1049.918,291.8778,7.1838,-0.037941,0.072899,0.91168,1
60214326.4225,76615982.2451,43816869.8153,21332827.8387,800.1342,362.8085,6.0033,0.0062818,0.044446,1.0941,-1
38220650.3407,54040889.7036,22383207.6515,19865974.8028,724.603,321.6458,7.4012,0.0073852,0.037853,1.0029,1
35292311.3635,47177828.9021,23389060.0648,16018455.1058,737.4166,340.6241,6.7273,0.014822,0.061577,1.0882,1
15313679.9048,27310393.8932,3287108.6996,14407905.1078,3168.5444,1280.0051,7.7489,-0.080902,0.067979,0.69168,-1
18176252.6525,30028577.9941,6289287.6437,18161422.7511,892.1107,356.207,6.0903,0.0082145,0.08483,0.95352,1
15605539.9316,27683712.0761,3480490.2475,20509469.6866,1273.8427,330.9054,7.6785,-0.0022285,0.063357,0.95892,1
26612708.5273,43309225.9079,9886597.0884,21223912.684,769.3091,295.2532,7.2876,-0.0062809,0.077228,1.0419,-1
11647105.1738,21662811.5711,1604081.9691,15426476.8616,808.9394,299.0768,6.1654,-0.029714,0.065286,0.7457,-1
6966796.4091,12036671.4729,1884971.2555,8900871.2865,924.9671,310.5137,6.1228,-0.017671,0.062638,0.85531,-1
7431827.0154,12992975.011,1855010.2879,9975443.3312,897.4189,316.2905,5.9889,-0.024606,0.047592,0.8135,-1
12794684.4551,19842678.5737,5732232.3207,12711952.1001,775.1637,271.965,5.6165,-0.029557,0.059197,0.80157,-1
9384645.5645,16356859.9633,2380674.5999,10306249.5805,1468.1977,421.5577,5.636,0.017165,0.057686,0.42452,-1
5631221.1787,10018744.1467,1225740.7628,7650780.1796,951.5598,370.8763,3.9331,0.026765,0.069434,0.77918,1
25580379.764,47453643.0756,3608696.9466,33485709.3518,1027.2721,337.4447,8.5723,-0.030386,0.066836,1.0276,1
3327029.4884,6023252.0573,618799.1205,5384518.8487,1114.1113,400.2649,6.8781,-0.0028807,0.078915,0.85331,-1
8378475.5035,14137697.5493,2606880.3393,7164047.0784,1537.2671,414.7326,7.722,-0.0054522,0.089714,1.0266,-1
8405008.4292,14161512.2927,2630171.6205,7652071.895,1150.8799,498.3145,7.3927,-0.036264,0.14668,1.0266,-1
36580817.7037,62892239.3592,10214874.6644,35083984.4913,1085.8981,421.9205,7.3166,0.0061208,0.091212,1.0109,1
5810376.3199,9878388.2436,1729651.7768,8487933.161,1391.9133,285.7794,6.0226,-0.0014368,0.055552,0.84844,-1
5777132.8678,10360787.4514,1176347.3801,9409508.16,1400.2891,322.5391,6.2929,-0.012361,0.046123,0.82522,-1
16578006.2762,27265574.5811,5868384.9996,14706712.2361,1157.4977,338.3808,5.7326,-0.028181,0.13054,1.1145,1
34895142.2879,49349492.161,20395645.3128,19464360.5198,1528.9626,458.2786,4.2762,0.049175,0.10612,0.90718,1
7503640.236,12570889.6359,2419094.9694,7548079.4297,1168.927,398.8859,7.1706,-0.05112,0.069953,0.9048,-1
9881696.5296,17312018.7497,2419052.1051,12824056.1726,1298.0377,388.759,6.9112,-0.019458,0.083123,0.94852,-1
20198573.0248,33144210.8942,7224505.3686,18933882.3654,1612.0076,325.6737,5.7744,-0.0062263,0.088837,1.0049,1
18989010.4345,30921165.7894,7030961.7779,16330564.6259,945.3083,323.5747,6.5303,-0.0044871,0.09164,1.085,1
23614571.9791,38376012.0754,8825601.8625,18684317.5801,875.5681,341.8138,7.4401,-0.026598,0.066987,1.1379,1
13643697.5297,21205722.8754,6069399.8073,10589313.2741,948.2555,290.4551,7.0025,-0.0069006,0.098656,0.95671,-1
14295008.7159,21587425.1168,6983325.2542,12364590.476,1084.8087,369.3697,6.6087,-0.0020673,0.091844,1.0111,-1
18973796.3774,31371051.4444,6545270.1921,18494398.2853,948.6417,304.4004,5.5805,-0.00084743,0.061733,0.9729,1
15209370.7073,25883018.2381,4510775.2739,15712986.1512,1128.0275,352.5311,5.6596,-0.011491,0.059934,1.0847,1
21694637.7872,32234658.8258,11132243.1401,14385289.1291,994.8697,332.3904,5.0383,-0.010846,0.11189,0.98113,-1
3302196.7948,6392900.3347,190644.2653,7780728.7713,1043.9943,379.1708,7.9537,0.0070854,0.02583,0.92092,1
7755255.5492,14004615.6367,1472410.7245,10437733.5473,1035.2467,393.3471,7.1699,0.012004,0.069793,1.0219,1
8753675.5211,14625884.3957,2866410.0931,8778601.4535,730.5006,276.7856,6.4142,0.0088719,0.057372,0.85069,1
14196209.8636,27380016.4829,935798.7903,23712768.2233,1093.0828,329.7988,6.2867,-0.025722,0.06825,0.78,-1
5792541.7825,10905342.9587,649722.3744,10652896.6067,880.6133,351.6649,8.4981,-0.01775,0.046188,0.77518,-1
15605839.8825,26512519.6496,4651233.0133,16441606.94,1045.6866,398.2602,5.887,-0.013822,0.094584,0.91189,-1
15426526.3733,26500033.5701,4329395.3116,14314943.5931,523.7845,200.2949,5.3008,-0.057048,0.035876,0.83674,-1
19988374.3363,32949332.831,6995868.1775,18250900.6593,829.543,338.144,6.3064,-0.018868,0.04884,1.1417,1
8065174.0465,13918590.229,2192922.4912,9570851.6959,1021.0219,396.5263,5.8919,-0.011274,0.088136,0.96578,1
26873597.6604,47054883.7237,6608207.8213,33647086.5631,999.667,407.8914,6.3943,-0.0057199,0.075813,1.1685,1
17553951.3115,30387866.5961,4681598.9341,19691209.2417,1711.6697,304.6369,6.401,0.012254,0.070465,1.1172,1
5029803.5365,9586480.9655,461513.2853,7305746.1416,1227.7739,319.2156,5.8179,-0.014109,0.088227,0.73777,-1
10551403.6166,16300778.6893,4795876.6843,7223201.5767,944.4389,317.7837,6.4169,-0.011085,0.11563,1.0073,1
11879072.707,19869324.5866,3868666.8824,15280332.4234,858.3359,287.4766,6.6781,-0.010533,0.060253,1.0889,1
16144012.8816,26927441.8859,5329940.2482,15140410.1197,1017.9498,398.2774,6.4816,-0.021987,0.090961,1.0061,1
22670837.0896,37682431.1992,7628126.7299,26378253.6286,782.8477,320.858,7.4763,0.031913,0.056146,0.86817,-1
14062351.3385,23701589.066,4402857.2845,14137812.4893,699.7518,275.8921,6.8195,-0.0024638,0.099838,0.94069,1
20254854.5648,35742298.6836,4709745.4861,22690625.3785,893.9017,334.8255,6.5959,0.0014107,0.11494,1.0817,1
21397527.8025,34626809.677,8133924.3966,19217382.4581,962.0601,356.8154,6.279,-0.042436,0.054005,1.196,1
8587904.7659,14012170.8092,3145361.6957,9207489.7283,1042.3895,339.7819,7.1681,-0.028011,0.073225,0.86986,-1
20538360.856,30802631.2408,10254675.5192,15191894.9024,715.8188,301.7671,6.5877,-0.0017016,0.072679,0.92285,-1
8307000.1184,13089743.0657,3514643.646,7402162.5745,1031.3112,309.7041,4.8722,0.0098622,0.0733,0.9604,1
13156482.327,21710173.0803,4581834.7245,13107193.8233,1128.7729,318.1808,7.0727,0.0078507,0.062134,1.0851,1
23057171.0796,41372484.526,4640199.932,34379497.8938,1255.3281,444.2532,7.0039,0.026227,0.082133,1.0577,1
15531491.338,25507464.0652,5522767.638,14815620.8143,999.0264,346.9305,7.9204,-0.014107,0.092059,1.0365,1
7138747.9494,12452304.2396,1813002.398,7567154.1205,754.4757,288.4318,5.9721,-0.033717,0.061274,0.7586,-1
13649923.1631,23239550.0184,4053092.303,11738799.9122,813.8993,287.4066,6.4561,-0.051324,0.056926,0.79048,-1
13084148.9386,24968898.7633,1142510.6408,19621320.7309,1037.702,364.1687,5.8301,0.050067,0.069126,0.8308,1
30771575.9266,53876572.5338,7597707.7576,30828318.8875,1644.1337,414.6458,6.5233,0.020626,0.15024,1.037,1
19155173.0162,29555307.1454,8722194.8971,17808725.8764,1440.4483,488.3118,8.7866,-0.043717,0.11186,0.93757,1
19489102.9269,31487869.4314,7468796.6856,19274315.5218,2024.4335,394.6961,7.8997,-0.0017268,0.065284,1.0287,1
9393273.7683,15502549.9972,3263756.2907,11616738.7918,973.9577,370.89,7.2973,-0.090089,0.067885,0.71483,-1
9944923.3152,17038343.6134,2821454.4674,14662833.6672,1148.3113,354.0333,8.7273,-0.08301,0.09851,0.88698,-1
20907090.6817,32929549.9307,8866864.2787,17924296.2312,1076.1661,286.6102,6.1905,-0.0222,0.077896,0.94869,-1
29458291.0645,47759529.4337,11130718.7339,23183708.4541,1127.2172,397.7392,6.6953,0.010712,0.11121,1.0907,-1
11874532.611,19705255.4996,4026413.313,12191409.3925,789.5927,316.9316,6.0418,-0.016355,0.10055,1.0168,1
5651767.9568,9759788.5627,1530667.2302,7520062.4016,683.9927,274.9729,8.1103,0.031865,0.033698,0.72185,-1
20651847.2111,31519874.3865,9751358.8799,17369117.0492,717.5363,293.8179,8.5599,-0.010323,0.045419,0.90228,-1
10334991.4514,18999608.8859,1637115.2063,13895807.8383,1614.0268,347.9162,6.1532,-0.017057,0.079101,1.2057,1
11024191.5226,20115514.0866,1889340.5386,17392608.6682,2019.3441,456.5927,7.5174,-0.012675,0.058233,1.0772,-1
20913364.8586,35595718.6713,6150036.3765,23112140.0901,1479.409,499.3078,9.4018,0.035734,0.052656,0.69951,1
15819159.8243,24328750.4894,7299365.156,11057758.2469,1320.7824,289.8891,7.4787,-0.012429,0.060468,1.0341,1
6764719.659,11333827.1825,2183845.827,6473643.3093,879.0898,333.9001,5.8024,-0.010554,0.069087,1.0598,1
17904716.2197,29229096.6385,6541054.801,15939612.0891,1074.7409,466.1025,6.4519,0.0011996,0.1262,1.0848,1
11339780.4793,22268773.6394,365498.6515,18140694.5572,776.1818,290.0241,7.188,-0.010494,0.09318,0.71733,-1
28182351.5243,47129476.9534,9172229.3999,27863468.2836,1202.929,446.3688,7.0628,0.0086245,0.062037,0.88679,-1
24518608.5594,39620417.3026,9374248.7642,28045538.091,692.8491,309.6509,6.6195,0.0043035,0.096454,0.87205,-1
14907707.1897,23887222.4959,5913757.7244,11896106.6904,731.1939,308.7064,6.752,-0.0032863,0.074756,0.87989,1
13784862.958,22292831.4939,5249673.1233,12058419.996,1145.6251,406.5089,7.8462,-0.028425,0.075063,1.1578,1
8680202.955,15814023.4401,1527950.0556,10914523.3494,529.6792,225.4452,5.5488,0.011536,0.061461,0.6091,-1
28913652.2654,47099330.339,10696989.5422,23652489.0745,1812.5643,726.7172,6.1378,0.020844,0.068254,0.94296,1
